Date,Closing Price
1995-12-21,15.214
1995-12-22,15.283
1995-12-26,15.308
1995-12-27,15.402
1995-12-28,15.575
1995-12-29,15.241
1996-01-02,15.145
1996-01-03,15.189
1996-01-04,15.283
1996-01-05,15.67
1996-01-08,15.859
1996-01-09,15.554
1996-01-10,15.081
1996-01-11,15.167
1996-01-12,14.964
1996-01-15,14.799
1996-01-16,15.01
1996-01-17,15.081
1996-01-18,15.214
1996-01-19,15.241
1996-01-22,14.964
1996-01-23,14.657
1996-01-24,14.632
1996-01-25,14.799
1996-01-26,14.987
1996-01-29,14.893
1996-01-30,14.776
1996-01-31,15.081
1996-02-01,15.241
1996-02-02,15.167
1996-02-05,15.167
1996-02-06,15.283
1996-02-07,15.308
1996-02-08,15.529
1996-02-09,15.529
1996-02-12,15.67
1996-02-13,15.67
1996-02-14,15.529
1996-02-15,15.554
1996-02-16,15.308
1996-02-20,15.189
1996-02-21,15.378
1996-02-22,15.693
1996-02-23,15.452
1996-02-26,15.104
1996-02-27,14.916
1996-02-28,14.703
1996-02-29,14.938
1996-03-01,14.987
1996-03-04,14.916
1996-03-05,15.189
1996-03-06,15.452
1996-03-07,15.554
1996-03-08,14.893
1996-03-11,14.938
1996-03-12,14.987
1996-03-13,15.035
1996-03-14,15.214
1996-03-15,14.845
1996-03-18,15.308
1996-03-19,15.575
1996-03-20,15.129
1996-03-21,15.129
1996-03-22,15.283
1996-03-25,15.716
1996-03-26,16.163
1996-03-27,15.809
1996-03-28,15.74
1996-03-29,15.308
1996-04-01,15.599
1996-04-02,15.74
1996-04-03,15.766
1996-04-04,16.045
1996-04-08,15.67
1996-04-09,15.67
1996-04-10,15.474
1996-04-11,15.474
1996-04-12,15.378
1996-04-15,15.716
1996-04-16,15.716
1996-04-17,15.693
1996-04-18,15.378
1996-04-19,15.402
1996-04-22,15.402
1996-04-23,15.905
1996-04-24,15.834
1996-04-25,15.882
1996-04-26,15.859
1996-04-29,16.14
1996-04-30,15.977
1996-05-01,15.716
1996-05-02,15.529
1996-05-03,15.474
1996-05-06,15.529
1996-05-07,15.474
1996-05-08,15.716
1996-05-09,15.599
1996-05-10,15.693
1996-05-13,15.882
1996-05-14,15.927
1996-05-15,15.905
1996-05-16,15.766
1996-05-17,15.927
1996-05-20,16.402
1996-05-21,16.19
1996-05-22,16.488
1996-05-23,16.509
1996-05-24,16.352
1996-05-28,16.236
1996-05-29,16.001
1996-05-30,16.283
1996-05-31,15.927
1996-06-03,15.788
1996-06-04,15.953
1996-06-05,15.953
1996-06-06,15.859
1996-06-07,16.14
1996-06-10,16.045
1996-06-11,15.977
1996-06-12,15.809
1996-06-13,15.788
1996-06-14,15.693
